# Force coefficients
# liftDir    : (-2.505448e-01 9.681050e-01 0.000000e+00)
# dragDir    : (9.681050e-01 2.505448e-01 0.000000e+00)
# pitchAxis  : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf    : 8.000000e+01
# lRef       : 1.000000e+00
# Aref       : 3.000000e-01
# CofR       : (5.000000e-01 0.000000e+00 0.000000e+00)
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
500          	-2.966725e-11	1.966225e-10	3.381221e-11	-1.276114e-11	4.657335e-11
1000         	-1.904329e-11	6.879830e-11	5.967579e-11	1.079460e-11	4.888118e-11
1500         	-1.562514e-11	4.697759e-11	5.632321e-11	1.253646e-11	4.378675e-11
2000         	-1.446626e-11	4.210743e-11	5.171298e-11	1.139023e-11	4.032275e-11
2500         	-1.406546e-11	4.077840e-11	4.929212e-11	1.058060e-11	3.871152e-11
3000         	-1.390233e-11	4.020992e-11	4.818780e-11	1.019157e-11	3.799623e-11
3500         	-1.380434e-11	3.981712e-11	4.771969e-11	1.005550e-11	3.766419e-11
4000         	-1.372567e-11	3.949558e-11	4.764633e-11	1.009750e-11	3.754883e-11
4500         	-1.365574e-11	3.922161e-11	4.785382e-11	1.027117e-11	3.758265e-11
5000         	-1.359221e-11	3.898519e-11	4.827060e-11	1.054309e-11	3.772751e-11
5500         	-1.353446e-11	3.877909e-11	4.884010e-11	1.088559e-11	3.795451e-11
6000         	-1.348195e-11	3.859727e-11	4.951288e-11	1.127450e-11	3.823839e-11
6500         	-1.343405e-11	3.843491e-11	5.024621e-11	1.168905e-11	3.855715e-11
7000         	-1.339011e-11	3.828827e-11	5.100440e-11	1.211209e-11	3.889231e-11
7500         	-1.334953e-11	3.815450e-11	5.175873e-11	1.252983e-11	3.922889e-11
8000         	-1.331175e-11	3.803154e-11	5.248733e-11	1.293191e-11	3.955542e-11
8500         	-1.327636e-11	3.791779e-11	5.317408e-11	1.331067e-11	3.986340e-11
9000         	-1.324302e-11	3.781214e-11	5.380805e-11	1.366100e-11	4.014705e-11
9500         	-1.321149e-11	3.771359e-11	5.438248e-11	1.397975e-11	4.040273e-11
10000        	-1.318159e-11	3.762161e-11	5.489406e-11	1.426544e-11	4.062862e-11
10500        	-1.315320e-11	3.753561e-11	5.534202e-11	1.451781e-11	4.082421e-11
11000        	-1.312623e-11	3.745518e-11	5.572757e-11	1.473755e-11	4.099002e-11
11500        	-1.310063e-11	3.737994e-11	5.605337e-11	1.492606e-11	4.112731e-11
12000        	-1.307633e-11	3.730956e-11	5.632301e-11	1.508518e-11	4.123784e-11
12500        	-1.305330e-11	3.724375e-11	5.654078e-11	1.521709e-11	4.132369e-11
13000        	-1.303151e-11	3.718222e-11	5.671130e-11	1.532414e-11	4.138716e-11
13500        	-1.301091e-11	3.712453e-11	5.683944e-11	1.540881e-11	4.143063e-11
14000        	-1.299145e-11	3.707101e-11	5.692988e-11	1.547349e-11	4.145639e-11
14500        	-1.297310e-11	3.702085e-11	5.698749e-11	1.552065e-11	4.146684e-11
15000        	-1.295580e-11	3.697400e-11	5.701677e-11	1.555258e-11	4.146419e-11
15500        	-1.293952e-11	3.693028e-11	5.702203e-11	1.557150e-11	4.145053e-11
16000        	-1.292419e-11	3.688947e-11	5.700730e-11	1.557946e-11	4.142784e-11
16500        	-1.290976e-11	3.685141e-11	5.697625e-11	1.557836e-11	4.139789e-11
17000        	-1.289620e-11	3.681582e-11	5.693233e-11	1.556997e-11	4.136236e-11
17500        	-1.288343e-11	3.678265e-11	5.687852e-11	1.555583e-11	4.132269e-11
18000        	-1.287143e-11	3.675169e-11	5.681755e-11	1.553735e-11	4.128021e-11
18500        	-1.286013e-11	3.672279e-11	5.675181e-11	1.551577e-11	4.123604e-11
19000        	-1.284951e-11	3.669581e-11	5.668333e-11	1.549216e-11	4.119117e-11
19500        	-1.283950e-11	3.667062e-11	5.661388e-11	1.546744e-11	4.114644e-11
