# Forces     
# CofR       : (5.000000e-01 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
1            	((1.157740e-03 4.842418e-03 2.555247e-22) (1.274457e-03 2.770716e-04 -6.047136e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.263627e-04 1.736610e-04 2.560498e-04) (-4.156074e-05 1.911685e-04 -4.908864e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
2            	((7.601607e-04 3.528640e-03 1.913984e-22) (7.108101e-04 -9.050406e-06 -4.634854e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.292960e-04 1.140241e-04 1.672575e-04) (1.357561e-06 1.066215e-04 -3.578799e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
3            	((-2.129256e-04 -5.178450e-04 -3.074697e-23) (4.693969e-04 -1.086353e-04 5.947030e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.767675e-05 -3.193884e-05 -5.591119e-05) (1.629529e-05 7.040954e-05 -2.940115e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
4            	((-6.422010e-04 -2.754578e-03 -1.404105e-22) (3.665210e-04 -7.446365e-05 3.315262e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.131868e-04 -9.633016e-05 -1.633433e-04) (1.116955e-05 5.497815e-05 -2.300401e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
5            	((-3.348789e-04 -1.769011e-03 -1.056871e-22) (3.199868e-04 9.918664e-07 2.558059e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.653516e-04 -5.023183e-05 -9.184895e-05) (-1.487800e-07 4.799801e-05 -1.670929e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
6            	((1.726702e-04 5.130117e-04 1.445317e-23) (2.876272e-04 4.009479e-05 -3.170160e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.695176e-05 2.590054e-05 4.175267e-05) (-6.014218e-06 4.314408e-05 -1.250579e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
7            	((3.370223e-04 1.596086e-03 6.787593e-23) (2.549655e-04 2.785090e-05 -1.687930e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.394129e-04 5.055334e-05 9.226487e-05) (-4.177634e-06 3.824483e-05 -1.104260e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
8            	((1.383533e-04 9.079375e-04 4.428522e-23) (2.247230e-04 -2.892406e-06 -1.152508e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.361906e-04 2.075299e-05 3.825236e-05) (4.338610e-07 3.370845e-05 -1.115568e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
9            	((-1.117204e-04 -3.610039e-04 6.765320e-24) (2.024505e-04 -1.777073e-05 -1.761132e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.415058e-05 -1.675806e-05 -4.113734e-05) (2.665609e-06 3.036757e-05 -1.121454e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
10           	((-1.737578e-04 -8.700279e-04 -1.986746e-23) (1.887030e-04 -1.003092e-05 5.151399e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.305042e-04 -2.606367e-05 -6.536536e-05) (1.504638e-06 2.830545e-05 -1.045676e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
