# Wall shear stress
# Time       	patch        	min          	max          
0.000000e+00	walls	(-9.334438e-02 -3.930667e-02 -6.885053e-20)	(-6.302899e-02 -9.782865e-03 2.421588e-20)
5.000000e+01	walls	(-9.952397e-01 -1.321635e+00 -2.443957e-18)	(6.967840e-02 9.672620e-02 1.128162e-18)
1.000000e+02	walls	(-1.043884e+00 -1.548381e+00 -2.274326e-18)	(1.358942e-01 7.999409e-02 1.111931e-18)
1.500000e+02	walls	(-1.058142e+00 -1.582431e+00 -2.250668e-18)	(1.451875e-01 7.823106e-02 1.199928e-18)
2.000000e+02	walls	(-1.057598e+00 -1.566868e+00 -2.268265e-18)	(1.400656e-01 7.924480e-02 1.151195e-18)
2.500000e+02	walls	(-1.057214e+00 -1.573678e+00 -2.261465e-18)	(1.424850e-01 7.867640e-02 1.179446e-18)
3.000000e+02	walls	(-1.057866e+00 -1.575481e+00 -2.259734e-18)	(1.429952e-01 7.858750e-02 1.184683e-18)
3.500000e+02	walls	(-1.057815e+00 -1.574575e+00 -2.260414e-18)	(1.427025e-01 7.864854e-02 1.181219e-18)
4.000000e+02	walls	(-1.057743e+00 -1.574546e+00 -2.260810e-18)	(1.426875e-01 7.864534e-02 1.185308e-18)
4.500000e+02	walls	(-1.057760e+00 -1.574670e+00 -2.260698e-18)	(1.427255e-01 7.863536e-02 1.185807e-18)
5.000000e+02	walls	(-1.057763e+00 -1.574644e+00 -2.260661e-18)	(1.427208e-01 7.863882e-02 1.185743e-18)
5.500000e+02	walls	(-1.057762e+00 -1.574630e+00 -2.260641e-18)	(1.427171e-01 7.863958e-02 1.185759e-18)
6.000000e+02	walls	(-1.057762e+00 -1.574637e+00 -2.260647e-18)	(1.427179e-01 7.863945e-02 1.185757e-18)
6.500000e+02	walls	(-1.057762e+00 -1.574637e+00 -2.260640e-18)	(1.427181e-01 7.863945e-02 1.185758e-18)
7.000000e+02	walls	(-1.057762e+00 -1.574637e+00 -2.260640e-18)	(1.427179e-01 7.863944e-02 1.185760e-18)
7.500000e+02	walls	(-1.057762e+00 -1.574637e+00 -2.260640e-18)	(1.427181e-01 7.863944e-02 1.185761e-18)
8.000000e+02	walls	(-1.057762e+00 -1.574637e+00 -2.260640e-18)	(1.427181e-01 7.863945e-02 1.185763e-18)
8.500000e+02	walls	(-1.057762e+00 -1.574637e+00 -2.260640e-18)	(1.427181e-01 7.863945e-02 1.185764e-18)
9.000000e+02	walls	(-1.057762e+00 -1.574637e+00 -2.260640e-18)	(1.427181e-01 7.863945e-02 1.185766e-18)
9.500000e+02	walls	(-1.057762e+00 -1.574637e+00 -2.260640e-18)	(1.427186e-01 7.863945e-02 1.185767e-18)
1.000000e+03	walls	(-1.057762e+00 -1.574637e+00 -2.260640e-18)	(1.427186e-01 7.863945e-02 1.185769e-18)
