# Wall shear stress
# Time       	patch        	min          	max          
0.000000e+00	walls	(-2.563047e+00 -7.230019e-01 -2.700225e-19)	(-7.586110e-01 -6.056479e-02 2.322975e-19)
5.000000e+01	walls	(-8.883292e+01 -9.980818e+01 -7.576663e-17)	(2.252829e+00 4.339591e+00 1.295569e-16)
1.000000e+02	walls	(-9.430514e+01 -1.300957e+02 -2.704525e-16)	(1.351625e+01 4.420443e+00 2.538090e-16)
1.500000e+02	walls	(-9.520745e+01 -1.339623e+02 -2.936546e-16)	(1.502883e+01 4.623621e+00 2.877835e-16)
2.000000e+02	walls	(-9.534299e+01 -1.359571e+02 -3.069966e-16)	(1.589658e+01 4.594326e+00 2.937598e-16)
2.500000e+02	walls	(-9.541366e+01 -1.360935e+02 -3.077242e-16)	(1.595196e+01 4.605893e+00 2.949403e-16)
3.000000e+02	walls	(-9.541274e+01 -1.361789e+02 -3.082921e-16)	(1.598923e+01 4.605068e+00 2.953470e-16)
3.500000e+02	walls	(-9.541712e+01 -1.361902e+02 -3.083739e-16)	(1.599379e+01 4.605258e+00 2.953781e-16)
4.000000e+02	walls	(-9.541668e+01 -1.361927e+02 -3.083795e-16)	(1.599493e+01 4.605345e+00 2.953971e-16)
4.500000e+02	walls	(-9.541725e+01 -1.361935e+02 -3.083922e-16)	(1.599514e+01 4.605346e+00 2.954025e-16)
5.000000e+02	walls	(-9.541725e+01 -1.361935e+02 -3.083930e-16)	(1.599508e+01 4.605345e+00 2.954041e-16)
5.500000e+02	walls	(-9.541725e+01 -1.361936e+02 -3.083922e-16)	(1.599520e+01 4.605345e+00 2.954041e-16)
6.000000e+02	walls	(-9.541725e+01 -1.361935e+02 -3.083922e-16)	(1.599514e+01 4.605345e+00 2.954048e-16)
6.500000e+02	walls	(-9.541725e+01 -1.361935e+02 -3.083930e-16)	(1.599514e+01 4.605345e+00 2.954048e-16)
7.000000e+02	walls	(-9.541725e+01 -1.361935e+02 -3.083930e-16)	(1.599514e+01 4.605345e+00 2.954048e-16)
7.500000e+02	walls	(-9.541725e+01 -1.361935e+02 -3.083930e-16)	(1.599508e+01 4.605345e+00 2.954048e-16)
8.000000e+02	walls	(-9.541725e+01 -1.361935e+02 -3.083930e-16)	(1.599508e+01 4.605345e+00 2.954055e-16)
8.500000e+02	walls	(-9.541725e+01 -1.361935e+02 -3.083951e-16)	(1.599510e+01 4.605345e+00 2.954055e-16)
9.000000e+02	walls	(-9.541725e+01 -1.361935e+02 -3.083951e-16)	(1.599510e+01 4.605345e+00 2.954055e-16)
9.500000e+02	walls	(-9.541725e+01 -1.361935e+02 -3.083951e-16)	(1.599510e+01 4.605345e+00 2.954055e-16)
1.000000e+03	walls	(-9.541725e+01 -1.361935e+02 -3.083951e-16)	(1.599507e+01 4.605345e+00 2.954055e-16)
1.050000e+03	walls	(-9.541725e+01 -1.361935e+02 -3.083951e-16)	(1.599507e+01 4.605345e+00 2.954055e-16)
1.100000e+03	walls	(-9.541725e+01 -1.361935e+02 -3.083951e-16)	(1.599507e+01 4.605345e+00 2.954055e-16)
1.150000e+03	walls	(-9.541725e+01 -1.361935e+02 -3.083951e-16)	(1.599507e+01 4.605345e+00 2.954062e-16)
