# Wall shear stress
# Time       	patch        	min          	max          
0.000000e+00	walls	(-2.335983e+02 -8.602371e+00 -7.710472e-17)	(-1.415184e+02 4.497399e+01 7.313930e-17)
5.000000e+01	walls	(-1.436379e+03 -4.174520e+02 -2.508377e-14)	(3.654786e+01 1.349715e+03 8.131543e-14)
1.000000e+02	walls	(-1.587028e+03 -4.448472e+02 -1.541650e-14)	(2.955933e+01 1.374095e+03 2.946399e-14)
1.500000e+02	walls	(-1.555403e+03 -4.556431e+02 -1.551774e-14)	(2.755713e+01 1.332161e+03 2.109541e-14)
2.000000e+02	walls	(-1.540832e+03 -4.615033e+02 -1.550055e-14)	(2.607238e+01 1.311010e+03 1.456453e-14)
2.500000e+02	walls	(-1.526997e+03 -4.659631e+02 -1.547399e-14)	(2.503638e+01 1.294781e+03 1.666585e-14)
3.000000e+02	walls	(-1.519624e+03 -4.680979e+02 -1.546213e-14)	(2.461308e+01 1.287451e+03 1.754294e-14)
3.500000e+02	walls	(-1.517912e+03 -4.685314e+02 -1.546191e-14)	(2.457236e+01 1.286321e+03 1.849623e-14)
4.000000e+02	walls	(-1.518452e+03 -4.683795e+02 -1.546348e-14)	(2.462813e+01 1.287179e+03 1.789721e-14)
4.500000e+02	walls	(-1.518814e+03 -4.683198e+02 -1.546385e-14)	(2.463590e+01 1.287434e+03 1.780005e-14)
5.000000e+02	walls	(-1.518702e+03 -4.683709e+02 -1.546342e-14)	(2.461997e+01 1.287226e+03 1.777816e-14)
5.500000e+02	walls	(-1.518528e+03 -4.684278e+02 -1.546309e-14)	(2.460746e+01 1.287027e+03 1.778309e-14)
5.730000e+02	walls	(-1.518478e+03 -4.684412e+02 -1.546299e-14)	(2.460456e+01 1.286974e+03 1.804331e-14)
