# y+ ()      
# Time       	patch        	min          	max          	average      
0            	walls	2.068719e+02	3.991936e+02	3.515022e+02
50           	walls	2.240334e+02	4.566124e+03	2.301334e+03
100          	walls	1.724153e+02	4.393532e+03	1.770382e+03
150          	walls	6.717218e+01	4.410042e+03	1.741937e+03
200          	walls	1.832748e+02	4.448862e+03	1.863817e+03
250          	walls	1.783002e+02	4.453285e+03	1.879235e+03
300          	walls	1.754337e+02	4.438830e+03	1.836088e+03
350          	walls	1.764089e+02	4.437593e+03	1.829893e+03
400          	walls	1.773486e+02	4.442008e+03	1.843391e+03
450          	walls	1.770225e+02	4.442403e+03	1.845656e+03
500          	walls	1.767190e+02	4.441189e+03	1.841399e+03
550          	walls	1.768079e+02	4.441121e+03	1.840654e+03
600          	walls	1.769038e+02	4.441506e+03	1.841991e+03
650          	walls	1.768754e+02	4.441354e+03	1.842182e+03
700          	walls	1.768457e+02	4.441171e+03	1.841727e+03
750          	walls	1.768581e+02	4.441333e+03	1.841693e+03
800          	walls	1.768659e+02	4.441411e+03	1.841884e+03
850          	walls	1.768600e+02	4.441343e+03	1.841881e+03
900          	walls	1.768573e+02	4.441327e+03	1.841806e+03
950          	walls	1.768599e+02	4.441353e+03	1.841811e+03
1000         	walls	1.768610e+02	4.441364e+03	1.841843e+03
1050         	walls	1.768598e+02	4.441348e+03	1.841834e+03
1100         	walls	1.768593e+02	4.441343e+03	1.841824e+03
1150         	walls	1.768598e+02	4.441348e+03	1.841827e+03
1200         	walls	1.768602e+02	4.441358e+03	1.841836e+03
1250         	walls	1.768598e+02	4.441353e+03	1.841832e+03
1300         	walls	1.768598e+02	4.441353e+03	1.841830e+03
1350         	walls	1.768598e+02	4.441348e+03	1.841829e+03
1400         	walls	1.768598e+02	4.441348e+03	1.841830e+03
1450         	walls	1.768598e+02	4.441358e+03	1.841834e+03
1500         	walls	1.768599e+02	4.441358e+03	1.841831e+03
1550         	walls	1.768598e+02	4.441358e+03	1.841832e+03
1600         	walls	1.768597e+02	4.441348e+03	1.841829e+03
1650         	walls	1.768597e+02	4.441348e+03	1.841830e+03
1700         	walls	1.768604e+02	4.441353e+03	1.841834e+03
1750         	walls	1.768599e+02	4.441358e+03	1.841832e+03
1800         	walls	1.768599e+02	4.441358e+03	1.841832e+03
1850         	walls	1.768598e+02	4.441353e+03	1.841831e+03
1900         	walls	1.768597e+02	4.441348e+03	1.841830e+03
1950         	walls	1.768594e+02	4.441358e+03	1.841834e+03
2000         	walls	1.768598e+02	4.441358e+03	1.841832e+03
2050         	walls	1.768593e+02	4.441353e+03	1.841821e+03
2100         	walls	1.768599e+02	4.441353e+03	1.841831e+03
2150         	walls	1.768597e+02	4.441353e+03	1.841831e+03
2200         	walls	1.768597e+02	4.441358e+03	1.841835e+03
2250         	walls	1.768600e+02	4.441358e+03	1.841833e+03
2300         	walls	1.768592e+02	4.441353e+03	1.841821e+03
2350         	walls	1.768598e+02	4.441353e+03	1.841832e+03
2400         	walls	1.768597e+02	4.441353e+03	1.841831e+03
2450         	walls	1.768598e+02	4.441358e+03	1.841836e+03
2500         	walls	1.768599e+02	4.441358e+03	1.841833e+03
