# y+ ()      
# Time       	patch        	min          	max          	average      
0            	walls	6.029285e+01	8.507258e+01	7.544013e+01
50           	walls	8.143823e+00	8.533979e+01	4.575603e+01
100          	walls	5.608739e+00	9.443988e+01	4.264967e+01
150          	walls	9.273683e+00	9.301226e+01	4.390088e+01
200          	walls	1.276657e+01	9.204966e+01	4.553122e+01
250          	walls	9.380690e+00	9.155586e+01	4.665971e+01
300          	walls	4.182457e+00	9.143045e+01	4.731777e+01
350          	walls	1.140605e+01	9.156517e+01	4.765472e+01
400          	walls	9.044423e+00	9.176130e+01	4.766430e+01
450          	walls	1.296612e+01	9.187307e+01	4.773799e+01
500          	walls	1.292336e+01	9.191003e+01	4.773977e+01
550          	walls	1.290761e+01	9.192266e+01	4.774430e+01
595          	walls	1.289880e+01	9.192937e+01	4.774792e+01
